"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2022","Abilene Christian",71.2855,45,70.8707,36,101.276,192,101.938,205,94.6444,31,99.4003,99,2.53732,137
"2022","Air Force",63.3147,347,63.6346,341,93.2569,334,96.2414,307,103.591,227,103.642,178,-7.40014,252
"2022","Akron",63.9446,344,62.7831,348,107.17,65,105.392,138,100.166,137,103.982,187,1.40975,151
"2022","Alabama",73.0432,13,72.0089,16,109.659,36,116.924,13,104.239,244,99.079,91,17.8455,22
"2022","Alabama A&M",68.3738,162,66.8361,222,88.5265,354,87.8359,355,96.6102,56,101.544,136,-13.7086,317
"2022","Alabama St.",71.1919,48,69.985,61,96.2452,292,97.3805,287,105.454,265,110.765,308,-13.3843,314
"2022","Albany",65.8175,297,65.6247,285,94.5699,313,93.5533,335,99.9133,130,103.719,179,-10.1658,283
"2022","Alcorn St.",68.6852,142,67.9214,158,96.9023,280,98.7231,266,103.113,216,106.397,241,-7.6734,258
"2022","American",65.5956,305,65.4551,294,96.1552,294,94.9361,325,107.435,289,111.193,321,-16.2574,332
"2022","Appalachian St.",64.7147,335,64.6916,326,100.146,215,101.792,207,99.5575,119,100.341,115,1.45122,150
"2022","Arizona",73.2045,12,73.0002,7,115.258,7,118.764,8,90.9333,8,91.3835,14,27.3805,2
"2022","Arizona St.",68.0939,177,67.8384,163,94.1649,321,101.467,214,96.9413,66,93.3641,21,8.10296,97
"2022","Arkansas",72.0109,28,71.1583,30,106.517,79,111.424,41,93.8335,27,91.8726,16,19.5509,19
"2022","Arkansas Pine Bluff",68.9177,127,67.689,178,93.8129,324,98.082,276,114.574,355,119.648,358,-21.5663,353
"2022","Arkansas St.",68.8801,131,68.8543,105,99.7506,226,100.649,229,99.1659,109,101.353,131,-0.70429,177
"2022","Army",69.2482,108,69.3333,87,98.9232,241,97.0601,295,102.792,207,108.129,273,-11.0685,296
"2022","Auburn",71.4798,41,70.753,43,108.937,41,114.433,23,91.9612,12,89.2059,8,25.2267,7
"2022","Austin Peay",65.8389,296,65.1839,309,93.7918,326,95.2406,321,104.012,238,106.086,228,-10.8449,292
"2022","Ball St.",71.7998,36,70.5405,46,103.182,155,102.259,195,107.217,286,110.17,300,-7.91077,263
"2022","Baylor",68.5953,149,67.8026,168,111.496,22,118.527,9,92.2339,15,91.4355,15,27.0919,4
"2022","Bellarmine",63.5354,345,62.4534,353,106.32,82,107.583,96,110.336,331,110.08,298,-2.49676,204
"2022","Belmont",69.9206,84,69.4116,80,109.283,38,108.903,80,95.842,43,98.8263,85,10.0763,83
